地图,pair索引,起点X,起点Y,起点Yaw,终点X,终点Y,终点Yaw,直线距离
map_0000_seed_2312883878506865772,0,8.86208097184688,7.572942905800769,0.0,41.18838267472474,8.934483219951101,0.0,32.35496212040034
map_0000_seed_2312883878506865772,1,35.93296001114116,9.592330207676785,0.0,8.867618644983851,5.231692881372158,0.0,27.41437325853333
map_0000_seed_2312883878506865772,2,13.980562619392684,7.633465654922112,0.0,41.318297424988444,14.278980029919403,0.0,28.133869367887836
map_0000_seed_2312883878506865772,3,8.977198103930046,3.561591774654027,0.0,35.94943565923042,11.397495105440864,0.0,28.087416751082536
map_0000_seed_2312883878506865772,4,20.319815383191273,3.3410297788529633,0.0,32.79586927583905,26.69139281577908,0.0,26.474353149576615
map_0000_seed_2312883878506865772,5,15.453112373144434,18.8892426121488,0.0,40.77775937083454,7.707892097786477,0.0,27.68321413569322
map_0000_seed_2312883878506865772,6,3.19421287196721,20.595811422484292,0.0,35.161500035887414,9.685534813443983,0.0,33.77782681444011
map_0000_seed_2312883878506865772,7,32.956532195285355,10.784046608231428,0.0,3.137959863042245,24.88795957266393,0.0,32.98586995732418
map_0000_seed_2312883878506865772,8,3.020216440271685,24.673199805438507,0.0,41.60396475171211,8.192383146196272,0.0,41.956202777612496
map_0000_seed_2312883878506865772,9,4.583842721730288,17.202971761769742,0.0,30.158978483677195,26.637071767616405,0.0,27.25967373543439
