地图,pair索引,起点X,起点Y,起点Yaw,终点X,终点Y,终点Yaw,直线距离
map_0001_seed_8840962239518663710,0,8.543599546036265,23.46692340629653,0.0,38.138489513160025,16.07871024546958,0.0,30.503167145002816
map_0001_seed_8840962239518663710,1,36.1006078860391,26.78786612759934,0.0,4.891839048126385,18.87314545007516,0.0,32.19673983156525
map_0001_seed_8840962239518663710,2,9.572881238151872,11.034960673836853,0.0,38.98508839357915,25.965690240866866,0.0,32.98491496362468
map_0001_seed_8840962239518663710,3,38.10875585581614,15.070193982982268,0.0,10.278279677962974,24.115655065028875,0.0,29.263557037258344
map_0001_seed_8840962239518663710,4,11.157746429703186,13.249681521005641,0.0,35.77681934182159,21.531270521638145,0.0,25.97466972701673
map_0001_seed_8840962239518663710,5,5.092777616343564,14.891981041813999,0.0,32.733566417273245,26.56484224289113,0.0,30.0044812345958
map_0001_seed_8840962239518663710,6,28.683329355334358,21.17924825586666,0.0,3.488668101561982,14.482544341816183,0.0,26.06946104170161
map_0001_seed_8840962239518663710,7,31.222675215434712,4.247979555364566,0.0,12.076032458350026,25.08224202033129,0.0,28.295943548970847
map_0001_seed_8840962239518663710,8,9.817270403155828,26.46477627454185,0.0,33.83141615257573,5.853917014718274,0.0,31.64627490720886
map_0001_seed_8840962239518663710,9,35.361466506671675,7.970221449339497,0.0,8.441708920754063,19.36423706887665,0.0,29.23177963147002
